Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 513

Speaker Name                                  | Duration (hours)
spk_en_el_v2_421                                 |           0.06
spk_en_el_v2_173                                 |           0.06
spk_en_el_v2_388                                 |           0.06
spk_en_el_v2_288                                 |           0.06
spk_en_el_v2_30                                  |           0.06
spk_en_el_v2_322                                 |           0.06
spk_en_el_v2_250                                 |           0.06
spk_en_el_v2_81                                  |           0.06
spk_en_el_v2_66                                  |           0.06
spk_en_el_v2_170                                 |           0.06
spk_en_el_v2_285                                 |           0.06
spk_en_el_v2_62                                  |           0.06
spk_en_el_v2_467                                 |           0.06
spk_en_el_v2_36                                  |           0.06
spk_en_el_v2_367                                 |           0.06
spk_en_el_v2_142                                 |           0.06
spk_en_el_v2_345                                 |           0.06
spk_en_el_v2_17                                  |           0.06
spk_en_el_v2_465                                 |           0.06
spk_en_el_v2_229                                 |           0.06
spk_en_el_v2_52                                  |           0.06
spk_en_el_v2_430                                 |           0.06
spk_en_el_v2_362                                 |           0.06
spk_en_el_v2_76                                  |           0.06
spk_en_el_v2_351                                 |           0.06
spk_en_el_v2_87                                  |           0.06
spk_en_el_v2_53                                  |           0.06
spk_en_el_v2_220                                 |           0.06
spk_en_el_v2_299                                 |           0.06
spk_en_el_v2_138                                 |           0.06
spk_en_el_v2_115                                 |           0.06
spk_en_el_v2_272                                 |           0.06
spk_en_el_v2_15                                  |           0.06
spk_en_el_v2_292                                 |           0.06
spk_en_el_v2_51                                  |           0.06
spk_en_el_v2_309                                 |           0.06
spk_en_el_v2_255                                 |           0.06
spk_en_el_v2_183                                 |           0.06
spk_en_el_v2_218                                 |           0.06
spk_en_el_v2_466                                 |           0.06
spk_en_el_v2_443                                 |           0.06
spk_en_el_v2_127                                 |           0.06
spk_en_el_v2_334                                 |           0.06
spk_en_el_v2_56                                  |           0.06
spk_en_el_v2_214                                 |           0.06
spk_en_el_v2_266                                 |           0.06
spk_en_el_v2_12                                  |           0.06
spk_en_el_v2_85                                  |           0.06
spk_en_el_v2_449                                 |           0.06
spk_en_el_v2_39                                  |           0.06
spk_en_el_v2_207                                 |           0.06
spk_en_el_v2_158                                 |           0.06
spk_en_el_v2_464                                 |           0.06
spk_en_el_v2_305                                 |           0.06
spk_en_el_v2_262                                 |           0.06
spk_en_el_v2_140                                 |           0.06
spk_en_el_v2_97                                  |           0.06
spk_en_el_v2_80                                  |           0.06
spk_en_el_v2_168                                 |           0.06
spk_en_el_v2_253                                 |           0.06
spk_en_el_v2_23                                  |           0.06
spk_en_el_v2_390                                 |           0.06
spk_en_el_v2_321                                 |           0.06
spk_en_el_v2_45                                  |           0.06
spk_en_el_v2_143                                 |           0.06
spk_en_el_v2_277                                 |           0.06
spk_en_el_v2_150                                 |           0.06
spk_en_el_v2_178                                 |           0.06
spk_en_el_v2_433                                 |           0.06
spk_en_el_v2_60                                  |           0.06
spk_en_el_v2_0                                   |           0.06
spk_en_el_v2_226                                 |           0.06
spk_en_el_v2_212                                 |           0.06
spk_en_el_v2_317                                 |           0.06
spk_en_el_v2_19                                  |           0.06
spk_en_el_v2_55                                  |           0.06
spk_en_el_v2_163                                 |           0.06
spk_en_el_v2_156                                 |           0.06
spk_en_el_v2_348                                 |           0.06
spk_en_el_v2_83                                  |           0.06
spk_en_el_v2_157                                 |           0.06
spk_en_el_v2_257                                 |           0.06
spk_en_el_v2_34                                  |           0.06
spk_en_el_v2_235                                 |           0.06
spk_en_el_v2_198                                 |           0.06
spk_en_el_v2_246                                 |           0.06
spk_en_el_v2_328                                 |           0.06
spk_en_el_v2_237                                 |           0.06
spk_en_el_v2_225                                 |           0.06
spk_en_el_v2_442                                 |           0.06
spk_en_el_v2_355                                 |           0.06
spk_en_el_v2_245                                 |           0.06
spk_en_el_v2_100                                 |           0.06
spk_en_el_v2_240                                 |           0.06
spk_en_el_v2_463                                 |           0.06
spk_en_el_v2_254                                 |           0.06
spk_en_el_v2_223                                 |           0.06
spk_en_el_v2_41                                  |           0.06
spk_en_el_v2_59                                  |           0.06
spk_en_el_v2_14                                  |           0.06
spk_en_el_v2_121                                 |           0.06
spk_en_el_v2_95                                  |           0.06
spk_en_el_v2_112                                 |           0.06
spk_en_el_v2_358                                 |           0.06
spk_en_el_v2_279                                 |           0.06
spk_en_el_v2_2                                   |           0.06
spk_en_el_v2_151                                 |           0.06
spk_en_el_v2_312                                 |           0.06
spk_en_el_v2_330                                 |           0.06
spk_en_el_v2_268                                 |           0.06
spk_en_el_v2_315                                 |           0.06
spk_en_el_v2_302                                 |           0.06
spk_en_el_v2_92                                  |           0.06
spk_en_el_v2_44                                  |           0.06
spk_en_el_v2_152                                 |           0.06
spk_en_el_v2_48                                  |           0.06
spk_en_el_v2_167                                 |           0.06
spk_en_el_v2_54                                  |           0.06
spk_en_el_v2_126                                 |           0.06
spk_en_el_v2_429                                 |           0.06
spk_en_el_v2_415                                 |           0.06
spk_en_el_v2_113                                 |           0.06
spk_en_el_v2_316                                 |           0.06
spk_en_el_v2_1                                   |           0.06
spk_en_el_v2_228                                 |           0.06
spk_en_el_v2_448                                 |           0.06
spk_en_el_v2_107                                 |           0.06
spk_en_el_v2_224                                 |           0.06
spk_en_el_v2_303                                 |           0.06
spk_en_el_v2_281                                 |           0.06
spk_en_el_v2_221                                 |           0.06
spk_en_el_v2_47                                  |           0.06
spk_en_el_v2_280                                 |           0.06
spk_en_el_v2_294                                 |           0.06
spk_en_el_v2_300                                 |           0.06
spk_en_el_v2_435                                 |           0.06
spk_en_el_v2_42                                  |           0.06
spk_en_el_v2_335                                 |           0.06
spk_en_el_v2_78                                  |           0.06
spk_en_el_v2_208                                 |           0.06
spk_en_el_v2_5                                   |           0.06
spk_en_el_v2_129                                 |           0.06
spk_en_el_v2_370                                 |           0.06
spk_en_el_v2_275                                 |           0.06
spk_en_el_v2_293                                 |           0.06
spk_en_el_v2_90                                  |           0.06
spk_en_el_v2_428                                 |           0.06
spk_en_el_v2_202                                 |           0.06
spk_en_el_v2_436                                 |           0.06
spk_en_el_v2_369                                 |           0.06
spk_en_el_v2_122                                 |           0.06
spk_en_el_v2_26                                  |           0.06
spk_en_el_v2_37                                  |           0.06
spk_en_el_v2_238                                 |           0.06
spk_en_el_v2_406                                 |           0.06
spk_en_el_v2_274                                 |           0.06
spk_en_el_v2_265                                 |           0.06
spk_en_el_v2_130                                 |           0.06
spk_en_el_v2_234                                 |           0.06
spk_en_el_v2_397                                 |           0.06
spk_en_el_v2_468                                 |           0.06
spk_en_el_v2_70                                  |           0.06
spk_en_el_v2_319                                 |           0.06
spk_en_el_v2_109                                 |           0.06
spk_en_el_v2_89                                  |           0.06
spk_en_el_v2_413                                 |           0.05
spk_en_el_v2_136                                 |           0.05
spk_en_el_v2_361                                 |           0.05
spk_en_el_v2_159                                 |           0.05
spk_en_el_v2_179                                 |           0.05
spk_en_el_v2_72                                  |           0.05
spk_en_el_v2_28                                  |           0.05
spk_en_el_v2_460                                 |           0.05
spk_en_el_v2_343                                 |           0.05
spk_en_el_v2_241                                 |           0.05
spk_en_el_v2_444                                 |           0.05
spk_en_el_v2_65                                  |           0.05
spk_en_el_v2_73                                  |           0.05
spk_en_el_v2_278                                 |           0.05
spk_en_el_v2_357                                 |           0.05
spk_en_el_v2_454                                 |           0.05
spk_en_el_v2_252                                 |           0.05
