Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 509

Speaker Name                                  | Duration (hours)
spk_en_el_v2_288                                 |           0.03
spk_en_el_v2_30                                  |           0.03
spk_en_el_v2_322                                 |           0.03
spk_en_el_v2_250                                 |           0.03
spk_en_el_v2_81                                  |           0.03
spk_en_el_v2_66                                  |           0.03
spk_en_el_v2_170                                 |           0.03
spk_en_el_v2_285                                 |           0.03
spk_en_el_v2_62                                  |           0.03
spk_en_el_v2_467                                 |           0.03
spk_en_el_v2_36                                  |           0.03
spk_en_el_v2_367                                 |           0.03
spk_en_el_v2_142                                 |           0.03
spk_en_el_v2_345                                 |           0.03
spk_en_el_v2_17                                  |           0.03
spk_en_el_v2_465                                 |           0.03
spk_en_el_v2_229                                 |           0.03
spk_en_el_v2_52                                  |           0.03
spk_en_el_v2_430                                 |           0.03
spk_en_el_v2_362                                 |           0.03
spk_en_el_v2_76                                  |           0.03
spk_en_el_v2_351                                 |           0.03
spk_en_el_v2_87                                  |           0.03
spk_en_el_v2_53                                  |           0.03
spk_en_el_v2_220                                 |           0.03
spk_en_el_v2_115                                 |           0.03
spk_en_el_v2_138                                 |           0.03
spk_en_el_v2_272                                 |           0.03
spk_en_el_v2_299                                 |           0.03
spk_en_el_v2_15                                  |           0.03
spk_en_el_v2_292                                 |           0.03
spk_en_el_v2_51                                  |           0.03
spk_en_el_v2_309                                 |           0.03
spk_en_el_v2_255                                 |           0.03
spk_en_el_v2_183                                 |           0.03
spk_en_el_v2_218                                 |           0.03
spk_en_el_v2_466                                 |           0.03
spk_en_el_v2_443                                 |           0.03
spk_en_el_v2_127                                 |           0.03
spk_en_el_v2_334                                 |           0.03
spk_en_el_v2_56                                  |           0.03
spk_en_el_v2_214                                 |           0.03
spk_en_el_v2_266                                 |           0.03
spk_en_el_v2_12                                  |           0.03
spk_en_el_v2_85                                  |           0.03
spk_en_el_v2_449                                 |           0.03
spk_en_el_v2_39                                  |           0.03
spk_en_el_v2_207                                 |           0.03
spk_en_el_v2_158                                 |           0.03
spk_en_el_v2_464                                 |           0.03
spk_en_el_v2_305                                 |           0.03
spk_en_el_v2_262                                 |           0.03
spk_en_el_v2_140                                 |           0.03
spk_en_el_v2_97                                  |           0.03
spk_en_el_v2_80                                  |           0.03
spk_en_el_v2_168                                 |           0.03
spk_en_el_v2_253                                 |           0.03
spk_en_el_v2_23                                  |           0.03
